"Productnaam";"Interne referentie";"EAN";"Productgroep";"Beschrijving";"Nieuwe afbeeldingen";"Bestaande afbeeldingen";"Aantal artikelen in verpakking";"Aantal artikelen in verpakking Eenheid";"Aantal stuks in verpakking";"Aantal stuks in verpakking Eenheid";"Afwateringsgat";"Bediening verlichting";"CE Markering Document";"CE markering";"Diameter";"Diameter Eenheid";"Doelgroep";"E-mailadres of online contactformulier van de fabrikant";"Energielabel document";"Fabrikant Adres";"Fabrikant Naam";"Fotoformaat breedte";"Fotoformaat breedte Eenheid";"Fotoformaat lengte";"Fotoformaat lengte Eenheid";"Funkussen";"Geschikt voor type deur";"IP waarde";"Inclusief lichtbron";"Informatie datagebruik document";"Kleur";"Lichtbron verwijderbaar";"Materiaal";"Materiaal vulling";"Merk";"Met dimfunctie";"Ondersteuning met updates";"Product breedte";"Product breedte Eenheid";"Product hoogte";"Product hoogte Eenheid";"Product lengte";"Product lengte Eenheid";"Productinformatieblad document";"Producttaal";"Soort kaars";"Soort plantenbak";"Speciaal voor kinderen";"Taal handleiding";"Type fotolijst";"Type hordeur";"Type onderzetter";"Type plaid";"Type raamfolie";"Type schoenverzorging";"Type tafellaken";"Type tuinscherm";"Verkrijgt of genereert dan wel verzamelt data";"Verpakkingstaal";"Voedingstype";"Voor binnen of buiten";"Vorm";"Waarde energielabel";"Wasbaar";"Wattage per lichtpunt";"Wattage per lichtpunt Eenheid";"Wegwerp";"Woonthema";"Aansluitspanning";"Aansluitspanning Eenheid";"Aantal branduren";"Aantal branduren Eenheid";"Aantal foto's";"Aantal lichtpunten";"Aantal meegeleverde accu's/batterijen";"Aantal onderdelen";"Aantal vakken";"Aanvullende garanties";"Accuduur";"Aftersales Service(s)";"Anti-allergie";"Anti-slip";"BPA-vrij";"Bediening via mobiele app";"Bluetooth";"Breedte lampenkap";"Breedte lampenkap Eenheid";"Breekbaar";"Commercieel duurzaamheidsgarantie document";"Country";"Diameter lampenkap";"Diameter lampenkap Eenheid";"Dikte";"Dikte Eenheid";"Draaibaar";"Ergonomisch";"Fabrieksgarantie termijn";"Fan Merchandise";"Feestgelegenheid";"Fitting";"Fotomaat";"Game merchandise thema";"Geintegreerde USB poort";"Geschikt als bijzettafel";"Geschikt om op te zitten";"Geschikt voor Camper- of Caravan";"Geschikt voor aantal kaarsen";"Geschikt voor aantal pennen";"Geschikt voor aantal personen";"Geschikt voor boot";"Geschikt voor breedte balkonrailing";"Geschikt voor breedte balkonrailing Eenheid";"Geschikt voor leeftijd baby";"Geschikt voor materiaal";"Geschikt voor ruimte";"Geschikt voor wasdroger";"Gestoffeerd";"Geurnaam";"Geursoort";"Glow in the dark";"Handleiding";"Hittebestendig";"Inclusief Passe-partout";"Inclusief binnenkussen";"Inclusief houder";"Inclusief opbergruimte";"Inclusief poten";"Inclusief waterreservoir";"Ingeweven motief";"Inhoud";"Inhoud Eenheid";"Inklapbaar";"Inlusief bevestigingshaken";"Kledingmaat";"Kleur licht";"Kleurtemperatuur";"Kleurtemperatuur Eenheid";"Levensduur lichtbronnen";"Levensduur lichtbronnen Eenheid";"Lumen per lichtpunt";"Lumen per lichtpunt Eenheid";"MPN (Manufacturer Part Number)";"Magnetisch";"Magnetronbestendig";"Materiaal onderkant";"Materiaal tijk";"Merchandise van artiest";"Met draadloos oplaadstation";"Met klimrek";"Met lampenkap";"Met wielen";"Meubelafwerking";"Navulbaar";"Ongediertebestrijding";"Ophangbaar";"Ophangwijze";"Patroon";"Personage";"Personage van toepassing";"Product diepte";"Product diepte Eenheid";"Product gewicht";"Product gewicht Eenheid";"Profielbreedte lijst";"Profielbreedte lijst Eenheid";"Reparatie type";"Reparatiescore";"Seizoenscollectie";"Seizoensjaar";"Sluiting";"Smart Home Platform";"Snoer met stekker aan het product";"Snoerlengte";"Snoerlengte Eenheid";"Soort model";"Speciaal geschikt voor babykamer";"Speciaal geschikt voor barbecue";"Sportteam";"Stevigheid kussen";"Stijl";"Thema";"Type beker";"Type bevestiging";"Type bevestiging";"Type deurmat";"Type ergonomisch kussen";"Type keukendoek";"Type kussen";"Type lichtbron meegeleverd";"Type merchandise";"Type muursticker";"Type onderstel meubel";"Type slaper";"Uitzonderingen fabrieksgarantie";"Vaatwasser veilig";"Verkoelende werking";"Verpakking breedte";"Verpakking breedte Eenheid";"Verpakking hoogte";"Verpakking hoogte Eenheid";"Verpakking lengte";"Verpakking lengte Eenheid";"Verpakkingsgewicht";"Verpakkingsgewicht Eenheid";"Verpakkingsinhoud";"Verstelbaar";"Verstelmogelijkheden";"Vorstbestendig";"Vulgewicht";"Wasbare tijk of vulling";"Wasvoorschrift";"Waterafstotend";"eWaste"
Mars & More Waxinelichthouder - zwart - glas - papegaai print - 10 cm - Windlichtjes/kaarsenhouders;8716522074833;8716522074833;Waxinelichtjeshouder;<p>Deze elegante waxinelichthouder van Mars & More is gemaakt van zwart glas en voorzien van een kleurrijke papegaaiprint. Met een formaat van ca. 10 cm hoog en 8 cm in diameter is hij perfect voor waxinelichtjes of kleine kaarsen. De dierenprint zorgt voor een speels en exotisch accent in je interieur, terwijl het donkere glas een warme sfeer creëert wanneer het licht brandt. Ideaal voor op tafel, een plank of in de vensterbank.</p> <h3>Kenmerken</h3> <ul> <li>Merk: Mars & More</li> <li>Materiaal: Glas</li> <li>Kleur: Zwart</li> <li>Lengte: 8 cm</li> <li>Breedte: 8 cm</li> <li>Hoogte: 10 cm</li> <li>Breekbaar: Ja</li> <li>Voor binnen of buiten: Binnen</li> </ul>;;;;;1;stuk(s);;;;;8;cm;Alle leeftijden;info@b-living.eu;;Platinastraat 100, 7554 NB Hengelo ov, NL;B Living Bv;;;;;;;;;;Zwart;;Glas;;Mars & More;;;8;cm;10;cm;8;cm;;;;;N;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4 seizoenen;Never out of stock;;;;;;;;;;;Landelijk;;;;;;;;;;;;;;;;;0;cm;0;cm;0;cm;0.20;kg;;;;;;;;;
Mars & More Waxinelichthouder Luipaard/ Panter Zwart-Goud(8 x 7 cm);8716522074857;8716522074857;Waxinelichtjeshouder;<p>Waxinelichthouder Luipaard/Panter Zwart-Goud (8 x 7 cm)</p> <p> </p> <p><strong>Sponsor met uw bestelling stichting DAPD.</strong><br />Besteld u bij Radey's (Via BOL.COM)?<br />Dan doneren wij €1,- van elk verkochte artikel aan stichting DAPD.</p> <p>Als doel heeft de DAPD om kinderen (en soms volwassenen) die het zwaar hebben in hun leven een positieve ervaring te bezorgen. Dit kan zijn doordat zij lijden aan een chronische lichamelijke-, psychische- en/of terminale ziekte of handicap.</p> <p>Ze doen dit door het invullen en opluisteren van ritten en evenementen voor deze doelgroep. Daarvoor maken ze gebruik van (replica’s van) originele Amerikaanse politievoertuigen en andere speciale voertuigen. Om de ervaring zo echt mogelijk te maken gebruiken wij voertuigen die lijken op Politievoertuigen die in de USA daadwerkelijk worden of zijn gebruikt. Ook gaan ze hiervoor tijdens evenementen vaak gekleed in de originele kleding die door de betreffende politiedienst gebruikt worden.</p>;;;;;1;stuk(s);;;;;7;cm;Alle leeftijden;;;;;;;;;;;;;;Zwart - Goud;;Glas;;Mars & More;;;7;cm;8;cm;7;cm;;;;;N;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4 seizoenen;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;10;cm;10;cm;10;cm;0.02;kg;;;;;;;;;
Waxinelichthouder Panter Zwart (12 x 10 cm);8716522074871;8716522074871;Waxinelichtjeshouder;<h3>Theelichthouder Panter Zwart Large 12cm</h3> <p>Deze elegante theelichthouder van Mars & More voegt een luxe tintje toe aan je interieur. Met het chique panterpatroon in zwart is dit een echte eyecatcher die perfect past in moderne en klassieke woonstijlen.</p> <ul> <li>Afmetingen: 10x10x12 cm (large formaat)</li> <li>Materiaal: Kwalitatief glas</li> <li>Kleur: Zwart met panterprint</li> <li>Gewicht: 533 gram</li> <li>Gemakkelijk schoon te maken met een vochtige doek</li> <li>Geschikt voor theelichtjes en kaarsen</li> </ul>;;;;;1;stuk(s);;;;;10;cm;Alle leeftijden;info@bliving.nl;;7554 NB Hengelo, The Netherlands;Bliving;;;;;;;;;;Zwart;;Glas;;Mars & More;;;10;cm;12;cm;10;cm;;;;;N;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Never out of stock;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;0;cm;15;cm;0;cm;0.25;kg;;;;;;;;;
Theelichthouder toekan rose medium 10cm*;8716522074925;8716522074925;Waxinelichtjeshouder;<h3>Theelichthouder Toekan Rose Medium 10cm</h3> <p>Voeg warmte en kleur toe aan jouw interieur met deze charmante theelichthouder van Mars & More. Het speelse toekan-design in trendy rose maakt deze houder een echte eyecatcher in elk huis.</p> <ul> <li>Afmetingen: 8x8x10cm</li> <li>Materiaal: Glas</li> <li>Kleur: Roze</li> <li>Gewicht: 317 gram</li> <li>Onderhoud: Afnemen met een vochtige doek</li> <li>Artikelnummer: XMWLTRM</li> </ul>;;;;;1;stuk(s);;;;;8;cm;Alle leeftijden;;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Roze;;Glas;;Mars & More;;;8;cm;10;cm;8;cm;;;;;N;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4 seizoenen;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;20;cm;20;cm;30;cm;;;;;;;;;;;
Theelichthouder toekan rose large 12cm*;8716522074932;8716522074932;Waxinelichtjeshouder;<h3>Theelichthouder Toekan Rose Large 12cm</h3> <p>De Theelichthouder Toekan Rose Large van Mars & More is een charmante glazen decoratie voor je interieur. Met zijn unieke toekanvorm in roze kleur voegt deze theelichthouder een speelse en kleurrijke touch toe aan elke ruimte.</p> <ul> <li>Materiaal: Glas</li> <li>Kleur: Roze</li> <li>Afmetingen: 10 x 10 x 12 cm</li> <li>Gewicht: 533 gram</li> <li>Eenvoudig schoon te maken met een vochtige doek</li> <li>Perfecte decoratie voor woonkamer, slaapkamer of kantoor</li> </ul>;;;;;1;stuk(s);;;;;12;cm;Alle leeftijden;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Roze;;Glas;;Mars & More;;;10;cm;12;cm;10;cm;;;;;N;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4 seizoenen;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mars & More Waxinelichthouder Blad Zilverkleurig (8 x 7 x 7 cm);8716522078305;8716522078305;Waxinelichtjeshouder;<p>Waxinelichthouder Blad Zilverkleurig (8 x 7 x 7 cm)</p> <p> </p> <p><strong>Sponsor met uw bestelling stichting DAPD.</strong><br />Besteld u bij Radey's (Via BOL.COM)?<br />Dan doneren wij €1,- van elk verkochte artikel aan stichting DAPD.</p> <p>Als doel heeft de DAPD om kinderen (en soms volwassenen) die het zwaar hebben in hun leven een positieve ervaring te bezorgen. Dit kan zijn doordat zij lijden aan een chronische lichamelijke-, psychische- en/of terminale ziekte of handicap.</p> <p>Ze doen dit door het invullen en opluisteren van ritten en evenementen voor deze doelgroep. Daarvoor maken ze gebruik van (replica’s van) originele Amerikaanse politievoertuigen en andere speciale voertuigen. Om de ervaring zo echt mogelijk te maken gebruiken wij voertuigen die lijken op Politievoertuigen die in de USA daadwerkelijk worden of zijn gebruikt. Ook gaan ze hiervoor tijdens evenementen vaak gekleed in de originele kleding die door de betreffende politiedienst gebruikt worden.</p>;;;;;1;stuk(s);;;;;7;cm;Alle leeftijden;;;;;;;;;;;;;;Zilverkleurig;;Glas;;Mars & More;;;7;cm;8;cm;7;cm;;;;;N;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4 seizoenen;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;7;cm;8;cm;7;cm;0.15;kg;;;;;;;;;
Mars en More - Theelichthouder - Waxinelichthouder - Krokodillenprint - Croco - Zilverkleurig - (8 x 7 x 7 cm);8716522078336;8716522078336;Waxinelichtjeshouder;<h3>Mars & More Theelichthouder Zilver Croco Small</h3> <p>Een elegante theelichthouder in zilver met sierlijk krokodillenpatroon. Deze sfeervolle houder is gemaakt van kwalitatief glas en voegt een luxe touch toe aan je interieur. Ideaal voor het creëren van een gezellige en warme atmosfeer in elke kamer.</p> <ul> <li>Afmetingen: 7 x 7 x 8 cm</li> <li>Kleur: Zilver</li> <li>Materiaal: Glas</li> <li>Gewicht: 172 gram</li> <li>Onderhoud: Afnemen met een vochtige doek</li> </ul>;;;;;1;stuk(s);;;;;7;cm;Alle leeftijden;;;;;;;;;;;;;;Zilverkleurig;;Glas;;Mars & More;;;7;cm;8;cm;7;cm;;;;;N;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4 seizoenen;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;20;cm;20;cm;20;cm;;;;;;;;;;;
Mars & More Waxinelichthouder Abstract Zilverkleurig (8 x 7 x 7 cm);8716522078367;8716522078367;Waxinelichtjeshouder;<h3>Theelichthouder Zilver Abstract Small</h3> <p>Deze stijlvolle theelichthouder van Mars & More combineert minimalistische elegantie met een abstract zilverkleurig design. Gemaakt van hoogwaardig glas, creëert deze kleine houder een warm en gezellig sfeer in elke ruimte.</p> <ul> <li>Afmetingen: 7x7x8cm - compact formaat</li> <li>Materiaal: Glas in zilverkleur</li> <li>Gewicht: 171g</li> <li>Eenvoudig schoon te maken met een vochtige doek</li> <li>Ideaal voor tafeldecoratief en sfeerverlichting</li> </ul>;;;;;1;stuk(s);;;;;7;cm;Alle leeftijden;;;;;;;;;;;;;;Zilverkleurig;;Glas;;Mars & More;;;7;cm;8;cm;7;cm;;;;;N;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4 seizoenen;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mars & More Waxinelichthouder Abstract Zilverkleurig (12,5 x 10 x 10 cm);8716522078374;8716522078374;Waxinelichtjeshouder;<h3>Mars & More Theelichthouder Zilver Abstract Medium</h3> <p>Deze elegante theelichthouder van Mars & More voegt een stijlvol accent toe aan jouw interieur. Met het abstracte zilveren design creëert deze houder een warm en gezellig sfeer in elke ruimte. Perfect geschikt voor theelichtjes of kaarsen.</p> <ul> <li>Materiaal: Glas</li> <li>Kleur: Zilver</li> <li>Afmetingen: 10x10x12,5cm</li> <li>Gewicht: 513g</li> <li>Onderhoud: Afnemen met vochtige doek</li> <li>Artikelnummer: XMWLZAM</li> </ul>;;;;;1;stuk(s);;;;;10;cm;Alle leeftijden;;;;;;;;;;;;;;Zilverkleurig;;Glas;;Mars & More;;;10;cm;12.50;cm;10;cm;;;;;N;;;;;;;;;;;;;;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4 seizoenen;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Theelichthouder herfst bladeren large 18cm;8716522081619;8716522081619;Waxinelichtjeshouder;<h3>Theelichthouder Herfst Bladeren Large 18cm</h3> <p>Voeg warmte en sfeer toe aan uw interieur met deze prachtige theelichthouder uit de collectie van Mars & More. De Theelichthouder Herfst Bladeren Large is voorzien van een sierlijk herfstbladmotief in bruintinten en creëert een gezellige, knus sfeer in elke ruimte.</p> <ul> <li>Hoogte: 18cm, breedte en diepte: 12cm</li> <li>Gemaakt van duurzaam glas met herfstbladpatroon</li> <li>Kleur: Bruin</li> <li>Ideaal voor theelichtjes of kaarsen</li> <li>Gewicht: 1.055kg</li> <li>Onderhoud: Eenvoudig schoonmaken met een vochtige doek</li> <li>Perfecte decoratie voor herfstversiering</li> </ul>;;;;;1;stuk(s);;;;;12;cm;Alle leeftijden;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Bruin;;Glas;;Mars & More;;;12;cm;18;cm;12;cm;;;;;N;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Never out of stock;Never out of stock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;cm;;;;;;;;;;;;;
Balkondoek windscherm basic blauw 90x300 cm;8717774827208;8717774827208;Tuinscherm;<p>Sun Arts Balkondoeken & Windschermen – Privacy en Stijl in Één</p> <p>Geniet van optimale privacy en bescherming tegen wind met de Sun Arts balkondoeken en windschermen! Met een afmeting van 90 cm hoog en 3 meter lang zijn ze perfect geschikt voor elk balkon.</p> <p>Beschikbaar in verschillende kleuren – passend bij elke stijl<br />Duurzaam en weerbestendig – bestand tegen regen en zon</p> <p>Creëer een beschutte en sfeervolle plek op uw balkon en geniet in alle rust van uw buitenruimte. </p> <p>Sun Arts – Stijlvolle Bescherming voor Elk Balkon! </p>;;;;;;;;;;;;;;https://www.b-living.eu/;;Platinastraat 100 7554 NB HENGELO;B-Living;;;;;;;;;;blauw;;PVC;;Sun Arts;;;;;90;cm;300;cm;;;;;;Geen taal;;;;;;;;Balkonscherm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geen fabrieksgarantie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;cm;15;cm;95;cm;2.10;kg;1 balkonscherm;;;;;;;;
fotolijst koe bol grijs 15x10cm;8716522075649;8716522075649;Fotolijst;<h3>Fotolijst Koe Bol Grijs 15x10cm</h3> <p>Deze schattige fotolijst van Mars & More is een leuk accessoire voor het tonen van je favoriete foto's. Met het bol koe design geeft deze fotolijst een gezellige, speelse touch aan je inrichting.</p> <ul> <li>Afmetingen: 15x10x5cm</li> <li>Kleur: Grijs</li> <li>Materiaal: Vachten</li> <li>Geschikt voor foto's van 15x10cm</li> <li>Artikelnummer: MHFLKBG1510</li> </ul>;;;;;1;stuk(s);;;;;10;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;10;cm;15;cm;;;;;;Grijs;;Leer;;Mars & More;;;15;cm;5;cm;15;cm;;Nederlands;;;;Niet van toepassing;Normale lijst;;;;;;;;;;;;Rechthoek;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0.50;cm;;;Geen fabrieksgarantie;;;;10 x 15 cm;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;mm;Carry-in;;4 seizoenen;Never out of stock;;;;;;Staand;;;;;;;;;;;;;;;;;;;Niet van toepassing;;;193;mm;50;mm;241;mm;0.54;kg;;;;;;;;;
Mars&More - Fotolijst - koe - hart - bruin/wit - leer - 20x20cm;8716522082494;8716522082494;Fotolijst;<h3>Mars & More Fotolijst Koe Hart Bruin/Wit 20x20cm</h3> <p>Gezellige fotolijst met een schattig koeprint hartdesign in bruin en wit. Dit decoratieve frame van Mars & More is perfect voor het presenteren van je lievelingsfoto's. Het hart vormige format maakt het een opvallend eyecatcher in elke ruimte.</p> <ul> <li>Afmetingen: 20x20cm (frameformat)</li> <li>Materiaal: Vachten met koeprint</li> <li>Kleur: Bruin/wit</li> <li>Gewicht: 407 gram</li> <li>Origineel artikel van Mars & More (MHFLKHB1510)</li> <li>Makkelijk op te hangen aan de wand</li> </ul>;;;;;1;stuk(s);;;;;20.50;cm;;info@b-living.eu;;Platinastraat 100, 7554 NB Hengelo, Nederland;B-living;20.5;cm;20.5;cm;;;;;;Bruin;;Leer;;Mars & More;;;20.50;cm;1.5;cm;20.50;cm;;Geen taal;;;;Niet van toepassing;Normale lijst;;;;;;;;;;;;Vierkant;;;;;;;;;;;1;;;;;Geen;;Service via verkoper;;;;;;;;;;;;;0.15;cm;;;Geen fabrieksgarantie;;;;20.5 x 20.5 cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;230;mm;;10;4 seizoenen;Never out of stock;;;;;;Staand;;;;;;;;;;;;;;;;;;;;;;300;mm;200;mm;300;mm;0.41;kg;;;;;;;;;N
Mars&More Fotolijst koe hart zwart/wit 20x20cm leer;8716522082517;8716522082517;Fotolijst;<h3>Mars & More Fotolijst Koe Hart Zwart/Wit 20x20cm</h3> <p>Een charmante fotolijst met opvallend koe hartpatroon in zwart en wit. Ideaal voor het fraai uitstallen van uw favoriete herinneringen. Het unieke vachtmateriaal geeft deze woonaccessoire een gezellige, landelijke uitstraling.</p> <ul> <li>Afmetingen: 20x20cm fotoformaat</li> <li>Materiaal: Vacht met zwart/wit motief</li> <li>Geschikt voor foto's tot 20x20cm</li> <li>Stylish design voor moderne en rustieke interieurs</li> <li>Artikelnummer: MHFLKHZ1510</li> </ul>;;;;;1;stuk(s);;;;;20.50;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;20.5;cm;20.5;cm;;;;;;Zwart;;Leer;;Mars & More;;;20.50;cm;1.5;cm;20.50;cm;;Geen taal;;;;Niet van toepassing;Normale lijst;;;;;;;;;;;;Vierkant;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0.15;cm;;;Geen fabrieksgarantie;;;;20.5 x 20.5 cm;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;230;mm;;;4 seizoenen;Never out of stock;;;;;;Staand;;;;;;;;;;;;;;;;;;;;;;300;mm;200;mm;300;mm;;;;;;;;;;;N
Mars&More Fotolijst koe hart zwart/wit 20x20cm leer;8716522082524;8716522082524;Fotolijst;<h3>Mars & More Fotolijst Koe Hart Zwart/Wit 23x23cm</h3> <p>Een leuke en originele fotolijst met een koe hartmotief in zwart en wit. Deze decoratieve lijstis ideaal voor het ophangen van je favoriete foto's in de kinderkamer, woonkamer of slaapkamer.</p> <ul> <li>Afmetingen: 23x23x1.5cm</li> <li>Materiaal: Vachten</li> <li>Kleur: Zwart/wit</li> <li>Gewicht: 0,507kg</li> <li>Artikelnummer: MHFLKHZ1813</li> </ul>;;;;;1;stuk(s);;;;;23;cm;;info@b-living.eu;;Platinastraat 100, 7554 NB Hengelo, Nederland;B-living;23;cm;23;cm;;;;;;Zwart;;Leer;;Mars & More;;;23;cm;1.5;cm;23;cm;;Geen taal;;;;Niet van toepassing;Normale lijst;;;;;;;;;;;;Vierkant;;;;;;;;;;;1;;;;;Geen;;Service via verkoper;;;;;;;;;;;;;0.15;cm;;;Geen fabrieksgarantie;;;;23 x 23 cm;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;230;mm;;10;4 seizoenen;Never out of stock;;;;;;Staand;;;;;;;;;;;;;;;;;;;;;;240;mm;150;mm;230;mm;0.20;kg;;;;;;;;;N
Theelichthouder jaguar print mat zwart medium 12cm;8716522061406;8716522061406;Windlicht;<h3>Mars & More Theelichthouder Jaguar Print Mat Zwart</h3> <p>Breng sfeer in uw woning met deze stijlvolle theelichthouder van Mars & More. Met het elegante jaguar print design in mat zwart voegt deze glazen houder een modern accent toe aan uw interieur. Perfecte afmetingen voor tafel, console of vensterbank.</p> <ul> <li>Materiaal: Glas</li> <li>Kleur: Mat zwart met jaguar print</li> <li>Afmetingen: 10x10x12,5 cm</li> <li>Inhoud: Medium formaat</li> <li>Schoonmaak: Eenvoudig met een vochtige doek</li> <li>Gewicht: 513 gram</li> </ul>;;;;;1;stuk(s);;;;;10;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Zwart;;Glas;;Mars & More;;;10;cm;12.50;cm;10;cm;;;;;;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Never out of stock;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;1.20;mm;1.50;mm;1.20;mm;0.05;kg;;;;;;;;;N
Windlicht cilinder zilver streep small;8716522081770;8716522081770;Windlicht;<h3>Mars & More Windlicht Cilinder Zilver Streep Small</h3> <p>Dit elegante windlicht van Mars & More brengt gezelligheid in elk interieur. Het fraaie zilveren streeppatroon op het heldere glas geeft een moderne touch aan je woondecoratie. Het cilindervormige design is perfect voor het plaatsen van kaarsen en creëert een warm, sfeervolle sfeer.</p> <ul> <li>Afmetingen: 12,5x12,5x25cm</li> <li>Materiaal: Glas</li> <li>Kleur: Zilver met streeppatroon</li> <li>Gewicht: 0,54kg</li> <li>Onderhoud: Afnemen met een vochtige doek</li> <li>Ideaal voor sfeerverlichting thuis of buiten</li> </ul>;;;;;1;stuk(s);;;;;12.50;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Zilver;;Glas;;Mars & More;;;12.5;cm;25;cm;12.5;cm;;;;;;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Never out of stock;Never out of stock;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;25;cm;20;cm;35;cm;0.10;kg;;;;;;;;;N
